descripcion,precio,titulo
"['Convertidor para moto o scooter eléctrico Wolf 4. Conector de 3 pines de 1,7 cm x 0,9 cm. Cubrecables color naranja. Yellow line Output 12 V black line negativo pole 0 V Red line input 48-72 V. Nuestros precios incluyen IVA (Código GFS: Acc_0317).']",['31'],['Convertidor In 48-72v Out 12v Para Moto/scooter Eléctrico']
"['- UNICA TALLA L', '- Diseños únicos: Rápida colocación / desmontaje, diseño ergonómico, ventilaciones transpirables para reducir la sudoración de las manos, protección de los nudillos.', '- Antideslizante, transpirable, diestro en el agarre, cómodo y resistente.', '- Exquisito corte y costura para asegurar un movimiento sin restricciones y durabilidad.', '- Perfecto para deportes al aire libre y trabajos pesados, como acampar, excursionismo, montañismo, escalada, ciclismo, motociclismo, equitación, entrenamiento militar, combate, caza, bateo, tiro, trabajo mecánico, etc.', '- 66% Nylon / 22% Poliuretano / 5% Algodón / 4% Spandex', '- Modelo Unisex', '- Productos 100% nuevos de paquete']",['11'],['Guantes Para Gimnasio Bicicleta Crossfit Under Armour Nuevo']
['Controlador para PMSM Versión LDX213-003 Rated Voltage DC 60V Phase 120 grados Protection Voltage 52+-1A Brake Level: High Maximum Current 35 +-1A para moto o scooter eléctrico. Nuestros precios incluyen IVA (Código GFS: Acc_0327).'],['118'],['Controlador Wireless 60a 35a Para Scooter Eléctrico Wolf']
"['Somos ""INTERCOMERCIOEC QUITO""', '****100% DE CLIENTES SATISFECHOS****', '****MÁS DE 8.000 TRANSACCIONES REALIZADAS****', '****LA SEGURIDAD DE TU COMPRA ESTÁ 100% GARANTIZADA****', '=======================================================================', 'DETALLE DEL PRODUCTO:', '- Lámina antiniebla para visor de casco universal de marco completo.', '- Antivaho duradero por más de 5 años.', '- Protege la visión y la piel de los ojos esterilizando los rayos UV.', '- Después de la lluvia ha sido húmedo, no reducirá el efecto antivaho, después de limpiarlo con un paño, se puede utilizar continuamente.', '- Adecuado para cascos completos, medio casco y cascos abiertos.', 'Material: PET especial.', 'Color: claro.', 'Tamaño (aprox.): 26cm x 9 cm.', 'Especificación: antivaho/lluvia.', 'Contenido del paquete:', '1 x película para casco de motocicleta antivaho/a prueba de lluvia.', '1 x paño antipolvo.', '1 x toallitas con alcohol.', '1 x pegatina de eliminación de polvo.', '1 x rascador pequeño.', '======================================================================', 'HORARIO DE ATENCIÓN:', 'De lunes a viernes 9h00 a 19h00, sábados 10h00 a 17h00 previa confirmación, domingos no abrimos.']",['9'],['2 Micas Antiniebla Para Dentro Y Fuera Visor Casco Moto']
['Parrilla especialmente diseñada para la Yamaha FZ25. Soporta cualquier baul o maletero del mercado permitiendo montarlo en segundos. Puede montar una maleta o también amarrar cosas a ella. Su superficie plana en la parte superior permite instalar un maletin impermeable sin romperlo y es reforzada en su estructura para evitar fallos comunes en este tipo de herrajes de moto'],['98'],['Moto Yamaha Fz25 Soporte Posterior (parrilla) Fire Parts']
"['- Hecha de tela 600D Oxford + tela impermeable + EVA', '- Capacidad: 25-38L aprox', '- Tiras reflectantes a los dos lados para mejorar la seguridad de la noche.', '- Medidas Normal: Alto 43cm * Ancho 30cm * Profundidad 20cm', '- Medias Expandido: Alto 43cm * Ancho 30cm * Profundidad 30cm', 'El paquete incluye:', '- 1 mochila Impermeable', '- 1 protector de lluvia', '- 1 correa con hebilla', '- 2 correas para el hombro', '- 1 cinturón multifunción', '- 2 cordones con hebilla']",['59'],['Mochila De Tanque Wolf De Moto Impemeable Multiusos + Acceso']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['Marca: CAMYOD', 'Material: Cuero sintético', 'Talla: S', 'Deporte: Snowboarding', 'Rango de edad (descripción): Adult', 'Color: Gris oscuro', 'Orientación de la mano: Ambidextrous', 'Cantidad por paquete: 1', 'Tipo de cierre: Hebilla', 'Material de buena calidad.', 'Tejido de nailon de alta calidad con revestimiento impermeable de PU transpirable y capa exterior repelente al agua para mantener tus manos secas; 1.41 oz 3M Thinsulate y Polyfill entreline; Membrana impermeable.', 'Calidez extra', 'Super cálido 3M Thinsulate, membrana impermeable funciona juntas para mantener las manos en un calor extremo.', 'Diseño perfecto.', 'Hilo de coser simple pero agradable en la parte posterior, orificio de ventilación de aire en la parte posterior de la mano, bolsillo con cremallera, todos estos guantes combinados son súper cálidos y de moda.', 'Sensación cómoda.', 'Todos los materiales son respetuosos con la piel, probados por SGS. 1.41 oz 3M Thinsulate y Polyfill interlining hace que los guantes sean suaves y cómodos; las capas que absorben la humedad mantienen tus manos libres de sudor.', 'USO', 'Esquí, patinaje, carreras de invierno, ciclismo de invierno, ciclismo de invierno, senderismo de invierno, invierno correr, escalada de montaña y otros deportes de invierno al aire libre.', 'Garantía del vendedor: 6 meses']",['65'],['Guantes Impermeables Alta Montaña 3m']
"['Marca: CAMYOD', 'Material: Cuero sintético', 'Talla: S', 'Deporte: Snowboarding', 'Rango de edad (descripción): Adult', 'Color: Gris oscuro', 'Orientación de la mano: Ambidextrous', 'Cantidad por paquete: 1', 'Tipo de cierre: Hebilla', 'Material de buena calidad.', 'Tejido de nailon de alta calidad con revestimiento impermeable de PU transpirable y capa exterior repelente al agua para mantener tus manos secas; 1.41 oz 3M Thinsulate y Polyfill entreline; Membrana impermeable.', 'Calidez extra', 'Super cálido 3M Thinsulate, membrana impermeable funciona juntas para mantener las manos en un calor extremo.', 'Diseño perfecto.', 'Hilo de coser simple pero agradable en la parte posterior, orificio de ventilación de aire en la parte posterior de la mano, bolsillo con cremallera, todos estos guantes combinados son súper cálidos y de moda.', 'Sensación cómoda.', 'Todos los materiales son respetuosos con la piel, probados por SGS. 1.41 oz 3M Thinsulate y Polyfill interlining hace que los guantes sean suaves y cómodos; las capas que absorben la humedad mantienen tus manos libres de sudor.', 'USO', 'Esquí, patinaje, carreras de invierno, ciclismo de invierno, ciclismo de invierno, senderismo de invierno, invierno correr, escalada de montaña y otros deportes de invierno al aire libre.', 'Garantía del vendedor: 6 meses']",['65'],['Guantes Impermeables Alta Montaña 3m']
['El vendedor no incluyó una descripción del producto'],['14'],['Forro Para Moto L Cobertor De Moto']
"['MILUNPRODUCTOS', 'Horario de Atención: lunes a viernes de 09:00 a 17:30, sábados de 10am a 15h00', 'Centro Comercial Artesanal Quitus', '1. Versión de Bluetooth: 5,0 + EDR', '2. Rango de frecuencia: 2,4026 GHz-2.480GHz', '3. Distancia de transmisión: 10M (la distancia de transmisión varía debido a factores ambientales y dispositivos Bluetooth de teléfonos móviles)', '4. Distancia del micrófono: 1 metro', '5. Batería de litio: 3,7 V/500mA', '6. Tiempo de carga: 4-5 horas', '7. Tiempo en espera: alrededor de 180 horas', '8. Tiempo de trabajo continuo: unas 20 horas', '9. Nombre del Bluetooth: BT12', 'Envíos a Nivel Nacional', '100% Garantizados', 'Disponibilidad']",['24'],['Intercomunicador Audífonos Inalámbricos Bluetooth Casco Moto']
['El vendedor no incluyó una descripción del producto'],['45'],['Guante Motowolf Cuero Unisex Motociclistas']
"['--------SOMOS NATURAL ECUADOR FITNESS TIENDA DEPORTIVA-------', 'Descripción:', '- Guantes VENUN Importados 12 onzas.', '- Ideales: para Sparring / Boxeo.', '- Protege de lesiones.', '- Minimiza el impacto de los golpes.', '- Mejora el agarre / Protege la muñeca.', '. -----Envíos a todo el Ecuador-----', 'Garantía del vendedor: 3 meses']",['31'],['Guantes De Boxeo Venum Importados']
"['--------SOMOS NATURAL ECUADOR FITNESS TIENDA DEPORTIVA-------', 'Descripción:', '- Guantes VENUN Importados 12 onzas.', '- Ideales: para Sparring / Boxeo.', '- Protege de lesiones.', '- Minimiza el impacto de los golpes.', '- Mejora el agarre / Protege la muñeca.', '. -----Envíos a todo el Ecuador-----', 'Garantía del vendedor: 3 meses']",['31'],['Guantes De Boxeo Venum Importados']
"['--------SOMOS NATURAL ECUADOR FITNESS TIENDA DEPORTIVA-------', 'Descripción:', '- Guantes VENUN Importados 12 onzas.', '- Ideales: para Sparring / Boxeo.', '- Protege de lesiones.', '- Minimiza el impacto de los golpes.', '- Mejora el agarre / Protege la muñeca.', '. -----Envíos a todo el Ecuador-----', 'Garantía del vendedor: 3 meses']",['31'],['Guantes De Boxeo Venum Importados']
"['--------SOMOS NATURAL ECUADOR FITNESS TIENDA DEPORTIVA-------', 'Descripción:', '- Guantes VENUN Importados 12 onzas.', '- Ideales: para Sparring / Boxeo.', '- Protege de lesiones.', '- Minimiza el impacto de los golpes.', '- Mejora el agarre / Protege la muñeca.', '. -----Envíos a todo el Ecuador-----', 'Garantía del vendedor: 3 meses']",['31'],['Guantes De Boxeo Venum Importados']
['El vendedor no incluyó una descripción del producto'],['16'],['Guantes Tacticos Oakley Original Motociclismo']
"['GUANTES TÉRMICOS PARA MOTO, CICLISMO,ESCALADA Y DEPORTES AL AIRE LIBRE', 'COLORES DISPONIBLES: ROJO, AZUL Y NEGRO', 'TALLA DISPONIBLE MÉDIUM', 'MATERIAL: NYLON, POLIESTER Y CUERO SINTÉTICO', 'LA PARTE QUE CUBRE LA PALMA DE LA MANO INCLUYE MATERIAL ANTIDESLIZANTE', 'MATERIAL TÉRMICO', 'NOTA: NO ES IMPERMEABLE', 'SOMOS TIENDA VIRTUAL', '(* ENTREGA GRATUITA PARA QUITO Y VALLES PREVIA COORDINACIÓN DEL LUGAR)']",['6'],['Guantes Térmicos Para Moto Ciclismo Y Deportes Al Aire Libre']
['Guantes importados para uso múltiple.'],['35'],['Guantes Americanos']
"['Uso: diseñados para ser increíblemente versátiles, estos guantes te mantendrán protegido de la escalada, el motociclismo, el ciclismo, el senderismo, la caza y el trabajo al aire libre.', '-Amplia gama de escenarios de uso: los guantes de carreras con protectores de nudillos duros sirven como guantes para motocross, mecánicos, deportes duales, vehículos todo terreno, motociclismo, motocross, tácticos, ciclismo, MTB, esquí y conducción de coches.', '-Protección: los guantes de moto evitan que los dedos y los nudillos se lesionen y se magullen. También hay protectores acolchados adicionales para los pulgares y las palmas. Las manos están protegidas de abrasiones y fracturas, especialmente en caso de accidente.', 'Material: 60% poliéster, 40% PVC, este material mantiene una temperatura agradable. Se ajusta perfectamente a las manos pero permite la destreza. Es resistente al desgaste, antideslizante, ligero y de secado rápido. Se recomienda lavar a mano los guantes de motocross.', 'Contamos con local físico por el sector de la Universidad Central', 'Entregamos a todo el país por servientregas.']",['16'],['Guantes Impermeables Para Moto']
"['Diseñados para ser increíblemente versátiles, estos guantes te mantendrán protegido de la escalada, el motociclismo, el ciclismo, el senderismo, la caza y el trabajo al aire libre.', '-Amplia gama de escenarios de uso: los guantes de carreras con protectores de nudillos duros sirven como guantes para motocross, mecánicos, deportes duales, vehículos todo terreno, motociclismo, motocross, tácticos, ciclismo, MTB, esquí y conducción de coches.', '-Protección: los guantes de moto evitan que los dedos y los nudillos se lesionen y se magullen. También hay protectores acolchados adicionales para los pulgares y las palmas. Las manos están protegidas de abrasiones y fracturas, especialmente en caso de accidente.', 'Contamos con local físico por el sector de la Universidad Central', 'Entregamos a todo el país por servientregas.']",['7'],['Guantes Para Moto']
['El vendedor no incluyó una descripción del producto'],['24'],['Guantes Para Motociclista Impermeables']
"['Contiene cintas reflexivas', 'Composición', '50% POLIESTER', '50% POLIURETANO', 'Forro', '100% POLIESTER', 'color negro con rojo', 'color negro con azul', 'color negro con baige']",['24'],"['Guantes Para Motociclista Térmicos, Impermeables']"
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
['El vendedor no incluyó una descripción del producto'],['45'],['Guante Motowolf Cuero Unisex Motociclistas']
"['Talla S,M,L']",['12'],"['Guantes Para Motociclista Táctiles, Térmicos, Semipermeables']"
['GUANTES ORIGINALES IMPERMEABLES'],['29'],['Guantes Impermeables Originales . 100% Producto Garantizado']
"['91% Cuero', '5% Neopreno', '3% Nylon', '1% Poliuretano', 'Recubrimiento: 100% Poliéster', 'Protecciones: 100% Pvc', '• Guantes de cuero de larga duración', '• Perforaciones transpirables para mayor comodidad', '• Acolchado extra protector', '• Correa ajustable para un mejor ajuste', '• Agarre firme con textura de cuero rugosa', '• Impermeables', 'Número de modelo: AAA', 'Material: Cuero', 'Tabla de tallas:', 'M: tamaño de la palma 20 cm/7,87 pulgadas, ancho 8 cm/3,15 pulgadas', 'L: tamaño de la palma 21 cm/8,26 pulgadas, ancho 8,5 cm/3,34 pulgadas', 'XL: tamaño de la palma 22 cm/8,66 pulgadas, ancho 9 cm/3,54 pulgadas', 'XXL: tamaño de la palma 23 cm/9 pulgadas, ancho 9,5 cm/3,74 pulgadas']",['49'],['Guantes De Motociclista De Cuero Impermeable Furygan']
['El vendedor no incluyó una descripción del producto'],['19'],['10 Pares De Guantes De Operador De Cuero Color Dorado Oscuro']
"['GUANTE LARGO ""M"" Moxal', 'Características:', 'Color: Azul', 'Color principal: Negro', 'Condición del ítem: Nuevo', 'Marca: Moxal', 'Modelo: GL-17', 'MPN: 01.018.0294', 'Talle: M', 'GUANTE LARGO ""M"" NEG/AZU - GL-17 - MOXAL - CHINA']",['14'],['Guante Largo  M  Moxal']
"['R21 Tactical', 'Puño con tecnología patentada SuperCuff.', 'Relleno segmentado de 6 mm en los nudillos, crea una protección que se mueve contigo.', 'Diseño de dos capas en la punta de los dedos da una sensación táctil máxima sin comprometer la destreza', 'Debe estar seguro antes de dar comprar, en caso de no concretar la compra con cualquiera de las forma de pago expuestas antes se calificara NEGATIVO.', 'Envíos a Cargo del Comprador']",['92'],['Guantes Tactical Ringers 577-09 T.m Le Tactical Blk B-21 R23']
['El vendedor no incluyó una descripción del producto'],['61'],['Guantes De Moto Masontex M']
"['Uso: diseñados para ser increíblemente versátiles, estos guantes te mantendrán protegido de la escalada, el motociclismo, el ciclismo, el senderismo, la caza y el trabajo al aire libre.', '-Amplia gama de escenarios de uso: los guantes de carreras con protectores de nudillos duros sirven como guantes para motocross, mecánicos, deportes duales, vehículos todo terreno, motociclismo, motocross, tácticos, ciclismo, MTB, esquí y conducción de coches.', '-Protección: los guantes de moto evitan que los dedos y los nudillos se lesionen y se magullen. También hay protectores acolchados adicionales para los pulgares y las palmas. Las manos están protegidas de abrasiones y fracturas, especialmente en caso de accidente.', 'Material: 60% poliéster, 40% PVC, este material mantiene una temperatura agradable. Se ajusta perfectamente a las manos pero permite la destreza. Es resistente al desgaste, antideslizante, ligero y de secado rápido. Se recomienda lavar a mano los guantes de motocross.', 'Contamos con local físico por el sector de la Universidad Central', 'Entregamos a todo el país por servientregas.']",['16'],['Guantes Impermeables Para Moto']
"['Diseñados para ser increíblemente versátiles, estos guantes te mantendrán protegido de la escalada, el motociclismo, el ciclismo, el senderismo, la caza y el trabajo al aire libre.', '-Amplia gama de escenarios de uso: los guantes de carreras con protectores de nudillos duros sirven como guantes para motocross, mecánicos, deportes duales, vehículos todo terreno, motociclismo, motocross, tácticos, ciclismo, MTB, esquí y conducción de coches.', '-Protección: los guantes de moto evitan que los dedos y los nudillos se lesionen y se magullen. También hay protectores acolchados adicionales para los pulgares y las palmas. Las manos están protegidas de abrasiones y fracturas, especialmente en caso de accidente.', 'Contamos con local físico por el sector de la Universidad Central', 'Entregamos a todo el país por servientregas.']",['7'],['Guantes Para Moto']
